goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,MC,Real Betis,Levante,1,0,2016-04-10,1713,2015,102019,0,0,0,0,0,0.02405158430337906,0.02405158430337906,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Atletico Madrid,Real Betis,5,1,2016-04-02,1700,2015,100728,0,0,0,0,0,0.013373342342674732,0.013373342342674732,2144,Alfred N&#039;Diaye
0,2,0.15547779202461243,90,MC,Real Betis,Malaga,0,1,2016-03-20,1694,2015,101216,0.030029283836483955,0,1,0,0.15547779202461243,0.11967175453901291,0.0896424725651741,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Athletic Club,Real Betis,3,1,2016-03-13,1686,2015,101455,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
1,2,0.15608160197734833,90,DMC,Real Betis,Granada,2,0,2016-03-06,1673,2015,102130,0,0,0,1,0.15608160197734833,0.0996473878622055,0.0996473878622055,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Espanyol,Real Betis,0,3,2016-03-03,1667,2015,100840,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,1,0.016441361978650093,90,MC,Real Betis,Sporting Gijon,1,1,2016-02-20,1642,2015,100135,0,0,0,0,0.016441361978650093,0.0730108767747879,0.0730108767747879,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Deportivo La Coruna,Real Betis,2,2,2016-02-14,1632,2015,99843,0,0,0,0,0,0.41370898485183716,0.41370898485183716,2144,Alfred N&#039;Diaye
0,1,0.07870947569608688,90,MC,Real Betis,Valencia,1,0,2016-02-07,1624,2015,99356,0,0,0,0,0.07870947569608688,0.07320541888475418,0.07320541888475418,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Real Sociedad,Real Betis,2,1,2016-01-31,1612,2015,99564,0,0,0,0,0,0.020861763507127762,0.020861763507127762,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Real Betis,Real Madrid,1,1,2016-01-24,1606,2015,98967,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,3,0.11977184563875198,90,DMC,Villarreal,Real Betis,0,0,2016-01-16,1590,2015,98677,0,0,0,0,0.11977184563875198,0.03366077318787575,0.01766417920589447,2144,Alfred N&#039;Diaye
0,2,0.15456146001815796,90,MC,Getafe,Real Betis,1,0,2016-01-09,1580,2015,96908,0,0,0,0,0.15456146001815796,0.33678558468818665,0.1822241097688675,2144,Alfred N&#039;Diaye
0,1,0.023255906999111176,90,DMC,Real Betis,Eibar,0,4,2016-01-03,1572,2015,97863,0,0,0,0,0.023255906999111176,0.43184366822242737,0.408587783575058,2144,Alfred N&#039;Diaye
