element,position,multiplier,is_captain,is_vice_captain
69,1,1,False,False
16,2,1,False,False
256,3,1,False,False
142,4,2,True,False
491,5,1,False,False
265,6,1,False,False
21,7,1,False,False
261,8,1,False,True
413,9,1,False,False
450,10,1,False,False
430,11,1,False,False
376,12,0,False,False
196,13,0,False,False
237,14,0,False,False
233,15,0,False,False
