id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l
7119,True,2017-08-11 19:45:00,83,Arsenal,ARS,75,Leicester,LEI,4,3,2.54329,1.46495,0.628,0.2154,0.1566
7120,True,2017-08-12 12:30:00,90,Watford,WAT,87,Liverpool,LIV,3,3,2.17647,2.61549,0.2452,0.287,0.4678
7121,True,2017-08-12 15:00:00,76,West Bromwich Albion,WBA,73,Bournemouth,BOU,1,0,1.18399,0.378659,0.5875,0.3056,0.1069
7122,True,2017-08-12 15:00:00,74,Southampton,SOU,84,Swansea,SWA,0,0,2.21748,0.406196,0.8262,0.1377,0.0361
7123,True,2017-08-12 15:00:00,80,Chelsea,CHE,92,Burnley,BUR,2,3,1.35651,0.564237,0.5899,0.284,0.1261
7124,True,2017-08-12 15:00:00,78,Crystal Palace,CRY,219,Huddersfield,HUD,0,3,0.988934,1.73657,0.1531,0.2491,0.5978
7125,True,2017-08-12 15:00:00,72,Everton,EVE,85,Stoke,STO,1,0,0.720574,0.27644,0.4458,0.4273,0.1269
7126,True,2017-08-12 17:30:00,220,Brighton,BRI,88,Manchester City,MCI,0,2,0.276343,1.86751,0.0192,0.1154,0.8654
7127,True,2017-08-13 13:30:00,86,Newcastle United,NEW,82,Tottenham,TOT,0,2,0.634633,2.34418,0.0463,0.143,0.8107
7128,True,2017-08-13 16:00:00,89,Manchester United,MUN,81,West Ham,WHU,4,0,2.63853,0.62654,0.8486,0.1127,0.0387
7129,True,2017-08-19 12:30:00,84,Swansea,SWA,89,Manchester United,MUN,0,4,0.304164,3.41021,0.0011,0.0166,0.9823
7130,True,2017-08-19 15:00:00,74,Southampton,SOU,81,West Ham,WHU,3,2,2.1424,1.53269,0.5292,0.2659,0.2049
7131,True,2017-08-19 15:00:00,73,Bournemouth,BOU,90,Watford,WAT,0,2,0.766694,2.17717,0.0725,0.1917,0.7358
7132,True,2017-08-19 15:00:00,92,Burnley,BUR,76,West Bromwich Albion,WBA,0,1,1.37242,0.653058,0.5629,0.2766,0.1605
7133,True,2017-08-19 15:00:00,75,Leicester,LEI,220,Brighton,BRI,2,0,1.88355,0.123075,0.8802,0.1083,0.0115
7134,True,2017-08-19 15:00:00,87,Liverpool,LIV,78,Crystal Palace,CRY,1,0,2.84978,0.727364,0.8616,0.1049,0.0335
