team_id,gw,second_name,player_id,position,multiplier
41350,12,Alexander-Arnold,237,4,1
41350,12,James,142,5,1
41350,12,Foden,265,6,1
41350,12,Mbeumo,96,7,1
41350,12,Salah,233,8,2
41350,12,Toney,78,9,1
41350,12,Jiménez,430,10,1
41350,12,Kane,357,11,1
41350,12,Sánchez,69,12,0
41350,12,Livramento,491,13,0
41350,12,Dias Belloli,196,14,0
41350,12,Brownhill,115,15,0
41350,13,Sánchez,69,1,1
41350,13,Cancelo,256,2,1
41350,13,Alonso,122,3,1
41350,13,Alexander-Arnold,237,4,1
41350,13,James,142,5,1
41350,13,Livramento,491,6,1
41350,13,Mbeumo,96,7,1
41350,13,Dias Belloli,196,8,1
41350,13,Salah,233,9,2
41350,13,Toney,78,10,1
41350,13,Jiménez,430,11,1
41350,13,Steele,54,12,0
41350,13,Foden,265,13,0
41350,13,Brownhill,115,14,0
41350,13,Kane,357,15,0
41350,14,Sánchez,69,1,1
41350,14,Cancelo,256,2,1
41350,14,Alonso,122,3,1
41350,14,Alexander-Arnold,237,4,1
41350,14,Livramento,491,5,1
41350,14,Dias Belloli,196,6,1
41350,14,Jota,240,7,1
41350,14,Salah,233,8,1
41350,14,King,468,9,1
41350,14,Toney,78,10,1
41350,14,Kane,357,11,2
41350,14,Steele,54,12,0
41350,14,James,142,13,0
41350,14,Foden,265,14,0
41350,14,Brownhill,115,15,0
41350,15,Sánchez,69,1,1
41350,15,Cancelo,256,2,1
41350,15,Alonso,122,3,1
41350,15,Alexander-Arnold,237,4,1
41350,15,James,142,5,1
41350,15,Livramento,491,6,1
41350,15,Foden,265,7,1
41350,15,Dias Belloli,196,8,1
41350,15,Jota,240,9,1
41350,15,Salah,233,10,1
41350,15,Kane,357,11,2
41350,15,Steele,54,12,0
41350,15,Toney,78,13,0
41350,15,King,468,14,0
41350,15,Brownhill,115,15,0
41350,16,Bachmann,389,1,1
41350,16,Alexander-Arnold,237,2,1
41350,16,James,142,3,1
41350,16,Alonso,122,4,1
41350,16,Cancelo,256,5,1
41350,16,Salah,233,6,2
41350,16,Jota,240,7,1
41350,16,Bowen,420,8,1
41350,16,Foden,265,9,1
41350,16,dos Santos Aveiro,579,10,1
41350,16,King,468,11,1
41350,16,Sánchez,69,12,0
41350,16,Toney,78,13,0
41350,16,Livramento,491,14,0
41350,16,Brownhill,115,15,0
41350,17,Sánchez,69,1,1
41350,17,Alonso,122,2,1
41350,17,Alexander-Arnold,237,3,1
41350,17,James,142,4,1
41350,17,Livramento,491,5,1
41350,17,Veiga de Carvalho e Silva,261,6,1
41350,17,Foden,265,7,1
41350,17,Bowen,420,8,1
41350,17,Salah,233,9,2
41350,17,Jota,240,10,1
41350,17,Watkins,40,11,1
41350,17,Bachmann,389,12,0
41350,17,Cancelo,256,13,0
41350,17,Toney,78,14,0
41350,17,King,468,15,0
41350,18,Ramsdale,559,1,1
41350,18,Alexander-Arnold,237,2,1
41350,18,James,142,3,1
41350,18,Alonso,122,4,1
41350,18,Cancelo,256,5,1
41350,18,Salah,233,6,2
41350,18,Jota,240,7,1
41350,18,Saka,22,8,1
41350,18,Veiga de Carvalho e Silva,261,9,1
41350,18,Foden,265,10,1
41350,18,Lacazette,6,11,1
41350,18,Bachmann,389,12,0
41350,18,King,468,13,0
41350,18,Toney,78,14,0
41350,18,Livramento,491,15,0
41350,19,Ramsdale,559,1,1
41350,19,Cancelo,256,2,1
41350,19,James,142,3,1
41350,19,Alonso,122,4,1
41350,19,Reguilón,370,5,1
41350,19,Foden,265,6,1
41350,19,Veiga de Carvalho e Silva,261,7,1
41350,19,Saka,22,8,1
41350,19,Son,359,9,2
41350,19,Toney,78,10,1
41350,19,Lacazette,6,11,1
41350,19,Bachmann,389,12,0
41350,19,King,468,13,0
41350,19,Jota,240,14,0
41350,19,Alexander-Arnold,237,15,0
41350,20,de Gea,270,1,1
41350,20,James,142,2,1
41350,20,Reguilón,370,3,1
41350,20,Cancelo,256,4,1
41350,20,Alexander-Arnold,237,5,1
41350,20,Alonso,122,6,1
41350,20,Son,359,7,2
41350,20,Veiga de Carvalho e Silva,261,8,1
41350,20,Foden,265,9,1
41350,20,Jota,240,10,1
41350,20,King,468,11,1
41350,20,Bachmann,389,12,0
41350,20,Toney,78,13,0
41350,20,Saka,22,14,0
41350,20,Lacazette,6,15,0
41350,21,de Gea,270,1,1
41350,21,Reguilón,370,2,1
41350,21,Cancelo,256,3,1
41350,21,Alexander-Arnold,237,4,1
41350,21,Dawson,414,5,1
41350,21,Son,359,6,1
41350,21,Veiga de Carvalho e Silva,261,7,1
41350,21,Jota,240,8,1
41350,21,Bowen,420,9,2
41350,21,Toney,78,10,1
41350,21,Antonio,413,11,1
41350,21,Bachmann,389,12,0
41350,21,Foden,265,13,0
41350,21,Alonso,122,14,0
41350,21,King,468,15,0
41350,22,de Gea,270,1,1
41350,22,Cancelo,256,2,1
41350,22,Alexander-Arnold,237,3,1
41350,22,Alonso,122,4,1
41350,22,Jota,240,5,1
41350,22,Bowen,420,6,1
41350,22,Borges Fernandes,277,7,2
41350,22,Foden,265,8,1
41350,22,King,468,9,1
41350,22,Antonio,413,10,1
41350,22,Toney,78,11,1
41350,22,Bachmann,389,12,0
41350,22,Reguilón,370,13,0
41350,22,Veiga de Carvalho e Silva,261,14,0
41350,22,Dawson,414,15,0
41350,23,de Gea,270,1,1
41350,23,Alexander-Arnold,237,2,1
41350,23,Alonso,122,3,1
41350,23,Cancelo,256,4,1
41350,23,Borges Fernandes,277,5,1
41350,23,Jota,240,6,1
41350,23,Bowen,420,7,1
41350,23,Veiga de Carvalho e Silva,261,8,1
41350,23,Foden,265,9,1
41350,23,King,468,10,2
41350,23,Dennis,450,11,1
41350,23,Bachmann,389,12,0
41350,23,Antonio,413,13,0
41350,23,Reguilón,370,14,0
41350,23,Dawson,414,15,0
41350,24,de Gea,270,1,1
41350,24,Alexander-Arnold,237,2,1
41350,24,Reguilón,370,3,1
41350,24,Dawson,414,4,1
41350,24,Cancelo,256,5,1
41350,24,Borges Fernandes,277,6,1
41350,24,Jota,240,7,1
41350,24,Bowen,420,8,1
41350,24,Veiga de Carvalho e Silva,261,9,1
41350,24,Foden,265,10,2
41350,24,Antonio,413,11,1
41350,24,Bachmann,389,12,0
41350,24,King,468,13,0
41350,24,Dennis,450,14,0
41350,24,Alonso,122,15,0
41350,25,de Gea,270,1,1
41350,25,Dawson,414,2,1
41350,25,Reguilón,370,3,1
41350,25,Alexander-Arnold,237,4,1
41350,25,Foden,265,5,1
41350,25,Bowen,420,6,1
41350,25,Jota,240,7,1
41350,25,Salah,233,8,1
41350,25,Borges Fernandes,277,9,2
41350,25,King,468,10,1
41350,25,Broja,518,11,1
41350,25,Bachmann,389,12,0
41350,25,Dennis,450,13,0
41350,25,Cancelo,256,14,0
41350,25,Tierney,16,15,0
41350,26,Ramsdale,559,1,1
41350,26,Cancelo,256,2,1
41350,26,Alexander-Arnold,237,3,1
41350,26,Tierney,16,4,1
41350,26,Borges Fernandes,277,5,1
41350,26,Salah,233,6,3
41350,26,Mané,230,7,1
41350,26,Bowen,420,8,1
41350,26,Dennis,450,9,1
41350,26,Broja,518,10,1
41350,26,King,468,11,1
41350,26,Bachmann,389,12,0
41350,26,Reguilón,370,13,0
41350,26,Dawson,414,14,0
41350,26,Brownhill,115,15,0
41350,27,Pope,112,1,1
41350,27,Cancelo,256,2,1
41350,27,Alexander-Arnold,237,3,1
41350,27,Dawson,414,4,1
41350,27,Bowen,420,5,1
41350,27,Brownhill,115,6,1
41350,27,Son,359,7,2
41350,27,Borges Fernandes,277,8,1
41350,27,Dennis,450,9,1
41350,27,King,468,10,1
41350,27,Broja,518,11,1
41350,27,Ramsdale,559,12,0
41350,27,Tierney,16,13,0
41350,27,Reguilón,370,14,0
41350,27,Salah,233,15,0
41350,28,Malheiro de Sá,475,1,1
41350,28,Rüdiger,127,2,2
41350,28,James,142,3,1
41350,28,Emiliano da Silva,121,4,1
41350,28,Saïss,431,5,1
41350,28,Dias Belloli,196,6,1
41350,28,Salah,233,7,1
41350,28,Coutinho Correia,681,8,1
41350,28,Ward-Prowse,341,9,1
41350,28,Jiménez,430,10,1
41350,28,Adams,345,11,1
41350,28,Dubravka,295,12,0
41350,28,Kane,357,13,0
41350,28,Digne,168,14,0
41350,28,Willock,19,15,0
41350,29,Ramsdale,559,1,1
41350,29,Cancelo,256,2,1
41350,29,Tierney,16,3,1
41350,29,Reguilón,370,4,1
41350,29,Alexander-Arnold,237,5,1
41350,29,Son,359,6,1
41350,29,Salah,233,7,2
41350,29,Martinelli Silva,26,8,1
41350,29,Hwang,583,9,1
41350,29,Kane,357,10,1
41350,29,Broja,518,11,1
41350,29,Pope,112,12,0
41350,29,Bowen,420,13,0
41350,29,Dawson,414,14,0
41350,29,Brownhill,115,15,0
41350,30,Ramsdale,559,1,1
41350,30,Reguilón,370,2,1
41350,30,Tierney,16,3,1
41350,30,Dawson,414,4,1
41350,30,Barnes,215,5,1
41350,30,Son,359,6,1
41350,30,Salah,233,7,1
41350,30,Martinelli Silva,26,8,1
41350,30,Hwang,583,9,1
41350,30,Kane,357,10,2
41350,30,Broja,518,11,1
41350,30,Pope,112,12,0
41350,30,Cancelo,256,13,0
41350,30,Alexander-Arnold,237,14,0
