team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
207377,28,121,6,238594,2,4,2009,116,108.3,
207377,29,99,10,631439,2,4,2104,156,108.4,
207377,30,84,8,8693,0,0,2188,30,108.4,freehit
207377,31,59,8,1058253,1,0,2247,20,108.4,
207377,32,86,2,184294,2,4,2329,14,108.4,
207377,33,114,0,8886,2,4,2439,1,108.7,bboost
207377,34,70,4,1050870,2,4,2505,1,108.8,
207377,35,62,9,967577,0,0,2567,1,108.5,
207377,36,103,11,1555216,2,0,2670,5,108.3,
207377,37,93,18,297281,0,0,2763,3,108.3,freehit
60997,1,98,1,510413,0,0,98,510410,100.0,
60997,2,59,0,2989925,0,0,157,928281,100.3,
60997,3,70,2,771815,2,0,227,620209,100.6,
60997,4,62,1,2906492,1,0,289,607876,100.4,
60997,5,56,0,3890275,1,0,345,735969,100.4,
60997,6,48,2,2579817,1,0,393,717923,100.6,
60997,7,59,6,228461,0,0,452,364900,100.5,wildcard
60997,8,62,1,1190543,1,0,514,281798,101.1,
60997,9,90,14,1162581,1,0,604,233396,101.5,
60997,10,67,7,248502,1,0,671,95804,102.2,
60997,11,76,27,34441,1,0,747,39640,102.7,
60997,12,84,5,266275,1,0,831,22362,103.6,
60997,13,43,2,4649679,1,0,874,44285,104.1,
60997,14,75,2,1041934,1,0,949,29047,104.4,
60997,15,50,12,2360140,1,0,999,28431,104.6,
60997,16,60,7,3563747,1,0,1059,42894,105.2,
60997,17,64,0,834323,0,0,1123,38754,105.3,
60997,18,84,7,24869,2,0,1207,10882,105.4,
60997,19,62,0,505512,1,0,1269,6137,106.0,
60997,20,46,0,2116661,1,0,1315,5982,105.9,
60997,21,76,6,702792,1,0,1391,6665,106.0,
60997,22,94,2,114656,2,4,1481,2248,106.2,
60997,23,34,11,4529535,0,0,1515,2333,106.5,
60997,24,84,5,399760,1,0,1599,1309,106.9,
60997,25,86,2,61222,1,0,1685,600,107.0,
60997,26,151,10,111053,2,0,1836,213,106.8,3xc
60997,27,50,10,2103806,1,0,1886,286,106.7,
60997,28,108,12,585195,0,0,1994,247,106.6,freehit
60997,29,95,6,989860,3,8,2081,467,106.3,
60997,30,67,0,607341,2,4,2144,322,106.0,
60997,31,62,11,737031,1,0,2206,196,105.8,
60997,32,73,4,775335,0,0,2279,158,106.2,
60997,33,95,11,251621,2,0,2374,75,106.2,
60997,34,84,10,205168,0,0,2458,36,106.3,wildcard
60997,35,53,4,2160043,0,0,2511,35,106.5,
60997,36,129,0,437224,2,0,2640,23,106.7,bboost
60997,37,120,17,15239,0,0,2760,4,106.9,freehit
420377,1,86,7,1579029,0,0,86,1579026,100.0,
420377,2,81,2,308476,0,0,167,523921,100.2,
420377,3,63,4,1966629,1,0,230,516739,101.0,
420377,4,80,1,277526,3,4,306,251484,101.0,
420377,5,72,3,794823,2,4,374,166212,101.2,
420377,6,51,8,1829319,1,0,425,145949,101.8,
420377,7,36,8,4604797,0,0,461,235305,101.8,wildcard
420377,8,53,4,3222590,0,0,514,284949,102.7,
420377,9,110,13,119990,2,0,624,84480,103.0,
420377,10,55,3,1258889,0,0,679,62676,103.9,
420377,11,73,20,76602,2,0,752,31048,104.1,
420377,12,75,5,963341,0,0,827,28418,104.6,
420377,13,62,0,784886,2,0,889,20999,104.7,
420377,14,84,3,206745,0,0,973,7036,105.1,
420377,15,62,11,473615,2,0,1035,3169,105.0,
420377,16,70,1,1704372,2,4,1101,3960,105.4,
420377,17,73,0,227378,1,0,1174,2225,105.6,
420377,18,67,0,383959,1,0,1241,1362,105.7,
420377,19,56,0,968390,1,0,1297,1166,105.8,
420377,20,62,1,296490,1,0,1359,392,105.5,
420377,21,83,0,333583,1,0,1442,319,105.7,
420377,22,99,2,51376,1,0,1541,54,106.2,
420377,23,38,15,3341878,1,0,1579,43,106.6,
420377,24,66,6,2037713,1,0,1645,73,106.9,
420377,25,86,2,56947,0,0,1731,26,107.2,
420377,26,125,12,1123351,0,0,1856,55,105.1,wildcard
420377,27,60,27,615717,0,0,1916,40,105.4,freehit
420377,28,107,0,643678,1,0,2023,56,105.5,bboost
420377,29,115,16,73086,4,12,2126,46,105.7,3xc
420377,30,58,0,1057268,0,0,2184,42,105.9,
420377,31,48,3,3250860,2,0,2232,48,105.7,
420377,32,66,1,1491903,2,4,2294,74,105.5,
420377,33,56,2,5599810,0,0,2350,283,105.6,
420377,34,68,3,1268187,2,0,2418,259,105.6,
420377,35,78,3,155955,3,8,2488,124,105.5,
420377,36,154,15,101724,1,0,2642,18,105.4,
420377,37,109,26,73308,0,0,2751,5,105.7,freehit
35434,1,106,6,122432,0,0,106,122431,100.0,
35434,2,69,0,1463043,1,0,175,294885,100.3,
35434,3,74,4,353515,1,0,249,114343,100.7,
35434,4,66,1,2047148,1,0,315,128746,100.7,
35434,5,52,0,4913753,2,4,363,328059,100.4,
35434,6,55,0,1070306,1,0,418,225033,100.4,
35434,7,48,7,1416775,0,0,466,173313,100.2,wildcard
35434,8,60,2,1636877,2,4,522,188642,100.8,
35434,9,96,3,647208,1,0,618,118530,101.2,
35434,10,75,20,63985,2,4,689,35526,101.4,
35434,11,84,26,4961,0,0,773,8233,101.8,
35434,12,72,7,1454480,2,0,845,9846,102.6,
35434,13,68,0,304013,1,0,913,4655,103.6,
35434,14,61,1,4055921,0,0,974,6658,104.2,
35434,15,50,3,2407188,2,0,1024,6817,104.1,
35434,16,75,16,1007376,2,4,1095,5962,104.5,
35434,17,62,0,1121347,1,0,1157,6764,105.0,
35434,18,67,0,405358,3,8,1216,6931,104.7,
35434,19,57,0,874224,1,0,1273,5115,104.8,
35434,20,54,3,899837,1,0,1327,3201,105.0,
35434,21,78,11,598367,2,4,1401,4112,104.6,
35434,22,97,3,72021,1,0,1498,921,105.1,
35434,23,36,12,4041900,1,0,1534,838,105.6,
35434,24,83,10,430952,0,0,1617,473,106.2,
35434,25,67,0,1036955,2,0,1684,660,106.1,
35434,26,147,18,188744,3,8,1823,467,105.8,3xc
35434,27,60,0,694857,2,4,1879,448,105.6,
35434,28,132,29,89229,0,0,2011,105,105.5,freehit
35434,29,101,9,500078,2,4,2108,125,105.1,
35434,30,77,5,106301,0,0,2185,41,105.0,freehit
35434,31,63,2,597968,0,0,2248,17,105.2,
35434,32,78,4,503173,2,0,2326,15,105.1,
35434,33,90,22,512834,1,0,2416,6,105.5,
35434,34,80,10,333669,0,0,2496,4,104.7,wildcard
35434,35,66,6,647889,0,0,2562,2,105.1,
35434,36,138,0,267208,2,0,2700,1,105.4,bboost
35434,37,55,1,2281348,2,4,2751,6,105.7,
162869,1,92,12,1002972,0,0,92,1002969,100.0,
162869,2,94,1,24124,1,0,186,90712,100.4,
162869,3,78,6,153482,1,0,264,18960,101.2,
