team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
41350,1,112,7,31939,0,0,112,31939,100.0,
41350,2,88,1,76534,0,0,200,9838,100.5,
41350,3,64,1,1751046,1,0,264,17592,101.0,
41350,4,72,10,962020,0,0,336,13316,100.9,wildcard
41350,5,57,0,3639768,1,0,393,28209,101.1,
41350,6,50,2,1955715,0,0,443,29649,101.6,
41350,7,50,4,1223935,3,4,489,27738,101.5,
41350,8,58,2,2100557,2,4,543,42901,101.7,
41350,9,87,14,1563913,3,8,622,95711,102.2,
41350,10,64,15,397043,1,0,686,42676,103.3,
41350,11,67,10,228589,0,0,753,29396,103.8,
41350,12,85,3,233930,2,0,838,15277,104.1,
41350,13,49,0,3093377,1,0,887,23646,104.7,
41350,14,49,3,6707258,2,4,932,67297,104.8,
41350,15,42,3,4473091,0,0,974,89546,104.8,
41350,16,54,2,4885877,3,4,1024,166826,105.1,
41350,17,78,0,93462,2,4,1098,105312,105.2,
41350,18,67,0,405358,3,8,1157,92994,105.0,
41350,19,65,0,351385,2,4,1218,60542,104.9,
41350,20,46,2,2116661,1,0,1264,55915,105.2,
41350,21,91,13,90189,3,8,1347,41703,104.8,
41350,22,106,5,13688,1,0,1453,8743,105.3,
41350,23,30,5,6224374,1,0,1483,10579,105.6,
41350,24,62,4,2472047,0,0,1545,16022,106.2,
41350,25,76,1,358256,3,4,1617,14066,106.2,
41350,26,154,25,72947,3,8,1763,8066,105.8,3xc
41350,27,53,0,1596247,2,4,1812,9705,105.9,
41350,28,99,29,1020961,0,0,1911,9692,105.7,freehit
41350,29,97,5,804387,3,8,2000,12025,105.6,
41350,30,58,0,1084305,1,0,2058,10616,105.2,
41350,31,41,2,4988701,0,0,2099,13924,105.4,
41350,32,79,5,450778,2,0,2178,9659,105.5,
41350,33,140,0,68,3,8,2310,1522,105.6,bboost
41350,34,75,5,584948,0,0,2385,1069,105.3,wildcard
41350,35,63,9,941856,1,0,2448,699,105.6,
41350,36,105,23,1413220,1,0,2553,879,105.8,
41350,37,87,3,437219,0,0,2640,691,106.1,freehit
2750002,1,94,21,817703,0,0,94,817700,100.0,
2750002,2,80,4,359599,0,0,174,304407,100.5,
2750002,3,75,7,307331,2,0,249,114343,100.9,
2750002,4,64,7,2496208,2,4,309,206394,100.9,
2750002,5,75,0,507951,2,4,380,106212,101.1,
2750002,6,54,0,1160110,0,0,434,73069,101.7,
2750002,7,35,1,5119107,2,0,469,147200,101.8,
2750002,8,65,14,689996,0,0,534,87152,101.3,wildcard
2750002,9,102,14,327925,1,0,636,39594,101.7,
2750002,10,46,10,3231858,1,0,682,53521,102.1,
2750002,11,71,9,101066,0,0,753,29003,102.1,
2750002,12,64,2,2910759,2,0,817,48004,102.5,
2750002,13,43,0,4649679,1,0,860,83622,103.0,
2750002,14,71,4,1737375,1,0,931,69469,103.0,
2750002,15,40,11,5307705,1,0,971,99860,103.0,
2750002,16,74,1,1163514,3,8,1037,108569,103.2,
2750002,17,52,0,2979277,1,0,1089,139687,103.6,
2750002,18,53,0,1892044,2,4,1138,162678,103.3,
2750002,19,57,2,874224,1,0,1195,123683,103.4,
2750002,20,42,2,2812017,0,0,1237,123732,103.6,
2750002,21,96,2,28973,2,0,1333,64187,103.6,
2750002,22,58,11,2818301,0,0,1391,72545,103.7,freehit
2750002,23,31,0,5935269,2,4,1418,88692,103.5,
2750002,24,62,3,2538966,1,0,1480,110249,103.9,
2750002,25,53,11,3056487,0,0,1533,137862,104.3,
2750002,26,126,4,1109872,3,4,1655,145421,103.9,3xc
2750002,27,56,0,1062453,0,0,1711,133301,104.0,
2750002,28,77,5,3033123,3,4,1784,173303,103.6,
2750002,29,79,9,3403584,2,4,1859,209680,103.5,
2750002,30,59,0,1003012,0,0,1918,191405,103.4,freehit
2750002,31,68,3,342553,2,4,1982,156245,102.8,
2750002,32,67,3,1298613,0,0,2049,148361,102.9,
2750002,33,88,12,682815,3,4,2133,123102,102.6,
