id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l
16396,True,2021-08-28 11:30:00,88,Manchester City,MCI,83,Arsenal,ARS,5,0,4.47273,0.116805,0.9943,0.0054,0.0003
16397,True,2021-08-28 14:00:00,86,Newcastle United,NEW,74,Southampton,SOU,2,2,1.19077,3.46036,0.0173,0.0763,0.9064
16398,True,2021-08-28 14:00:00,79,Norwich,NOR,75,Leicester,LEI,1,2,1.44084,1.27371,0.3977,0.309,0.2933
16399,True,2021-08-28 14:00:00,71,Aston Villa,AVL,244,Brentford,BRE,1,1,0.431464,1.13312,0.1214,0.3143,0.5643
16400,True,2021-08-28 14:00:00,220,Brighton,BRI,72,Everton,EVE,0,2,0.701622,1.54868,0.1307,0.2493,0.62
16401,True,2021-08-28 14:00:00,81,West Ham,WHU,78,Crystal Palace,CRY,2,2,1.44748,1.67658,0.2841,0.2824,0.4335
16402,True,2021-08-28 16:30:00,87,Liverpool,LIV,80,Chelsea,CHE,1,1,2.08462,0.573638,0.7743,0.1646,0.0611
16403,True,2021-08-29 13:00:00,92,Burnley,BUR,245,Leeds,LED,1,1,1.71102,1.52078,0.3969,0.3278,0.2753
16404,True,2021-08-29 13:00:00,82,Tottenham,TOT,90,Watford,WAT,1,0,0.920963,0.596016,0.4144,0.361,0.2246
16405,True,2021-08-29 15:30:00,229,Wolverhampton Wanderers,WOL,89,Manchester United,MUN,0,1,1.79575,0.944083,0.6025,0.267,0.1305
16406,True,2021-09-11 11:30:00,78,Crystal Palace,CRY,82,Tottenham,TOT,3,0,2.89372,0.0775646,0.9872,0.012,0.0008
16407,True,2021-09-11 14:00:00,83,Arsenal,ARS,79,Norwich,NOR,1,0,2.68515,0.577292,0.8611,0.1008,0.0381
16408,True,2021-09-11 14:00:00,244,Brentford,BRE,220,Brighton,BRI,0,1,0.729786,0.287902,0.4446,0.4316,0.1238
16409,True,2021-09-11 14:00:00,75,Leicester,LEI,88,Manchester City,MCI,0,1,0.8001,2.75058,0.0524,0.1247,0.8229
16410,True,2021-09-11 14:00:00,89,Manchester United,MUN,86,Newcastle United,NEW,4,1,2.77326,0.622042,0.8917,0.0845,0.0238
16411,True,2021-09-11 14:00:00,74,Southampton,SOU,81,West Ham,WHU,0,0,0.692135,0.725407,0.306,0.3717,0.3223
16412,True,2021-09-11 14:00:00,90,Watford,WAT,229,Wolverhampton Wanderers,WOL,0,2,0.185407,2.55922,0.0034,0.033,0.9636
16413,True,2021-09-11 16:30:00,80,Chelsea,CHE,71,Aston Villa,AVL,3,0,1.22153,1.17349,0.3501,0.3138,0.3361
16414,True,2021-09-12 15:30:00,245,Leeds,LED,87,Liverpool,LIV,0,3,0.652514,4.4016,0.0071,0.024,0.9689
16415,True,2021-09-13 19:00:00,72,Everton,EVE,92,Burnley,BUR,3,1,1.80386,1.82061,0.3516,0.2706,0.3778
16416,True,2021-09-17 19:00:00,86,Newcastle United,NEW,245,Leeds,LED,1,1,1.17668,1.42995,0.2984,0.2732,0.4284
16417,True,2021-09-18 11:30:00,229,Wolverhampton Wanderers,WOL,244,Brentford,BRE,0,2,1.02316,2.32741,0.0763,0.1796,0.7441
16418,True,2021-09-18 14:00:00,79,Norwich,NOR,90,Watford,WAT,1,3,0.782665,2.42487,0.068,0.1477,0.7843
16419,True,2021-09-18 14:00:00,92,Burnley,BUR,83,Arsenal,ARS,0,1,0.775574,1.09928,0.2331,0.3205,0.4464
16420,True,2021-09-18 14:00:00,87,Liverpool,LIV,78,Crystal Palace,CRY,3,0,2.76793,0.644168,0.8783,0.088,0.0337
16421,True,2021-09-18 14:00:00,88,Manchester City,MCI,74,Southampton,SOU,0,0,1.22451,0.490923,0.5597,0.297,0.1433
16422,True,2021-09-18 16:30:00,71,Aston Villa,AVL,72,Everton,EVE,3,0,0.777716,0.755035,0.3236,0.365,0.3114
16423,True,2021-09-19 13:00:00,220,Brighton,BRI,75,Leicester,LEI,2,1,1.47438,1.25373,0.4099,0.3102,0.2799
16424,True,2021-09-19 13:00:00,81,West Ham,WHU,89,Manchester United,MUN,1,2,1.6671,1.8954,0.2947,0.3001,0.4052
16425,True,2021-09-19 15:30:00,82,Tottenham,TOT,80,Chelsea,CHE,0,3,0.70567,2.5869,0.0491,0.1287,0.8222
16426,True,2021-09-25 11:30:00,80,Chelsea,CHE,88,Manchester City,MCI,0,1,0.194202,1.69244,0.0287,0.1742,0.7971
16431,True,2021-09-25 11:30:00,89,Manchester United,MUN,71,Aston Villa,AVL,0,1,1.9251,1.57249,0.4531,0.2656,0.2813
16427,True,2021-09-25 14:00:00,90,Watford,WAT,86,Newcastle United,NEW,1,1,0.904061,2.52338,0.0863,0.1454,0.7683
16428,True,2021-09-25 14:00:00,72,Everton,EVE,79,Norwich,NOR,2,0,2.26681,0.800903,0.7957,0.1591,0.0452
16429,True,2021-09-25 14:00:00,245,Leeds,LED,81,West Ham,WHU,1,2,1.1967,1.98962,0.1991,0.2264,0.5745
16430,True,2021-09-25 14:00:00,75,Leicester,LEI,92,Burnley,BUR,2,2,2.16233,0.428866,0.8072,0.1483,0.0445
16432,True,2021-09-25 16:30:00,244,Brentford,BRE,87,Liverpool,LIV,3,3,2.94058,2.25736,0.552,0.2087,0.2393
16433,True,2021-09-26 13:00:00,74,Southampton,SOU,229,Wolverhampton Wanderers,WOL,0,1,0.909342,0.909833,0.3238,0.3319,0.3443
16434,True,2021-09-26 15:30:00,83,Arsenal,ARS,82,Tottenham,TOT,3,1,1.44499,0.980166,0.4985,0.2844,0.2171
16435,True,2021-09-27 19:00:00,78,Crystal Palace,CRY,220,Brighton,BRI,1,1,1.36836,0.649566,0.5996,0.2765,0.1239
16442,True,2021-10-02 11:30:00,89,Manchester United,MUN,72,Everton,EVE,1,1,1.0496,1.32211,0.2749,0.2983,0.4268
16437,True,2021-10-02 14:00:00,92,Burnley,BUR,79,Norwich,NOR,0,0,0.584725,0.673617,0.2597,0.406,0.3343
16438,True,2021-10-02 14:00:00,80,Chelsea,CHE,74,Southampton,SOU,3,1,3.79243,1.52634,0.8747,0.096,0.0293
16440,True,2021-10-02 14:00:00,245,Leeds,LED,90,Watford,WAT,1,0,1.57388,0.192794,0.775,0.1878,0.0372
16445,True,2021-10-02 14:00:00,229,Wolverhampton Wanderers,WOL,86,Newcastle United,NEW,2,1,1.15849,0.865217,0.4258,0.3526,0.2216
16436,True,2021-10-02 16:30:00,220,Brighton,BRI,83,Arsenal,ARS,0,0,1.11551,0.36431,0.5517,0.3319,0.1164
16439,True,2021-10-03 13:00:00,78,Crystal Palace,CRY,75,Leicester,LEI,2,2,1.1703,1.04322,0.369,0.3054,0.3256
16443,True,2021-10-03 13:00:00,82,Tottenham,TOT,71,Aston Villa,AVL,2,1,1.78187,1.07395,0.5459,0.2622,0.1919
16444,True,2021-10-03 13:00:00,81,West Ham,WHU,244,Brentford,BRE,1,2,1.37258,1.30098,0.3646,0.291,0.3444
16441,True,2021-10-03 15:30:00,87,Liverpool,LIV,88,Manchester City,MCI,2,2,0.949368,1.04319,0.3183,0.3225,0.3592
16455,True,2021-10-16 11:30:00,90,Watford,WAT,87,Liverpool,LIV,0,5,0.302302,3.65553,0.0022,0.0123,0.9855
16447,True,2021-10-16 14:00:00,71,Aston Villa,AVL,229,Wolverhampton Wanderers,WOL,2,3,1.21276,2.19633,0.1447,0.2184,0.6369
16450,True,2021-10-16 14:00:00,75,Leicester,LEI,89,Manchester United,MUN,4,2,2.96611,1.02494,0.8373,0.1119,0.0508
16451,True,2021-10-16 14:00:00,88,Manchester City,MCI,92,Burnley,BUR,2,0,2.15712,1.07719,0.6665,0.2235,0.11
16453,True,2021-10-16 14:00:00,79,Norwich,NOR,220,Brighton,BRI,0,0,1.16088,1.17572,0.3239,0.3312,0.3449
16454,True,2021-10-16 14:00:00,74,Southampton,SOU,245,Leeds,LED,1,0,1.83082,0.446173,0.7596,0.1866,0.0538
16448,True,2021-10-16 16:30:00,244,Brentford,BRE,80,Chelsea,CHE,0,1,1.62169,0.248256,0.7703,0.1904,0.0393
16449,True,2021-10-17 13:00:00,72,Everton,EVE,81,West Ham,WHU,0,1,0.854165,2.03034,0.1082,0.1977,0.6941
16452,True,2021-10-17 15:30:00,86,Newcastle United,NEW,82,Tottenham,TOT,2,3,0.645658,1.55008,0.1015,0.2551,0.6434
16446,True,2021-10-18 19:00:00,83,Arsenal,ARS,78,Crystal Palace,CRY,2,2,1.7436,0.492239,0.7347,0.193,0.0723
16456,True,2021-10-22 19:00:00,83,Arsenal,ARS,71,Aston Villa,AVL,3,1,3.4984,1.41088,0.8436,0.1087,0.0477
16459,True,2021-10-23 11:30:00,80,Chelsea,CHE,79,Norwich,NOR,7,0,3.10509,0.267429,0.9608,0.0353,0.0039
16460,True,2021-10-23 14:00:00,78,Crystal Palace,CRY,86,Newcastle United,NEW,1,1,2.25588,0.721813,0.7766,0.1673,0.0561
16461,True,2021-10-23 14:00:00,72,Everton,EVE,90,Watford,WAT,2,5,1.84089,3.10344,0.1422,0.1764,0.6814
16462,True,2021-10-23 14:00:00,245,Leeds,LED,229,Wolverhampton Wanderers,WOL,1,1,1.71313,0.858644,0.6119,0.2536,0.1345
16464,True,2021-10-23 14:00:00,74,Southampton,SOU,92,Burnley,BUR,2,2,1.42567,0.673195,0.5749,0.2845,0.1406
16458,True,2021-10-23 16:30:00,220,Brighton,BRI,88,Manchester City,MCI,1,4,1.1695,3.57376,0.0199,0.0811,0.899
16457,True,2021-10-24 13:00:00,244,Brentford,BRE,75,Leicester,LEI,1,2,1.16789,1.00254,0.3902,0.3246,0.2852
16465,True,2021-10-24 13:00:00,81,West Ham,WHU,82,Tottenham,TOT,1,0,1.73468,0.672198,0.6769,0.2235,0.0996
16463,True,2021-10-24 15:30:00,89,Manchester United,MUN,87,Liverpool,LIV,0,5,1.35584,4.04765,0.0288,0.0659,0.9053
16468,True,2021-10-30 11:30:00,75,Leicester,LEI,83,Arsenal,ARS,0,2,1.98801,1.10288,0.6172,0.2317,0.1511
16467,True,2021-10-30 14:00:00,92,Burnley,BUR,244,Brentford,BRE,3,1,2.72901,0.834312,0.8299,0.1193,0.0508
16469,True,2021-10-30 14:00:00,87,Liverpool,LIV,220,Brighton,BRI,2,2,1.39778,1.51032,0.3222,0.279,0.3988
16470,True,2021-10-30 14:00:00,88,Manchester City,MCI,78,Crystal Palace,CRY,0,2,0.65739,1.05029,0.2045,0.3281,0.4674
16471,True,2021-10-30 14:00:00,86,Newcastle United,NEW,80,Chelsea,CHE,0,3,0.157616,2.16608,0.0067,0.0614,0.9319
16474,True,2021-10-30 14:00:00,90,Watford,WAT,74,Southampton,SOU,0,1,0.852556,1.90757,0.1184,0.2165,0.6651
16473,True,2021-10-30 16:30:00,82,Tottenham,TOT,89,Manchester United,MUN,0,3,1.15787,1.38612,0.2873,0.3069,0.4058
16472,True,2021-10-31 14:00:00,79,Norwich,NOR,245,Leeds,LED,1,2,0.661887,1.16855,0.1855,0.3103,0.5042
16466,True,2021-10-31 16:30:00,71,Aston Villa,AVL,81,West Ham,WHU,1,4,0.687551,2.66391,0.0209,0.0903,0.8888
16475,True,2021-11-01 20:00:00,229,Wolverhampton Wanderers,WOL,72,Everton,EVE,2,1,1.69344,1.69767,0.3571,0.2722,0.3707
16484,True,2021-11-05 20:00:00,74,Southampton,SOU,71,Aston Villa,AVL,1,0,0.89818,0.536077,0.4546,0.3594,0.186
16483,True,2021-11-06 12:30:00,89,Manchester United,MUN,88,Manchester City,MCI,0,2,0.759561,2.04202,0.0837,0.1908,0.7255
16477,True,2021-11-06 15:00:00,244,Brentford,BRE,79,Norwich,NOR,1,2,2.79229,1.15797,0.7832,0.1534,0.0634
16479,True,2021-11-06 15:00:00,80,Chelsea,CHE,92,Burnley,BUR,1,1,3.00585,0.674072,0.8798,0.0929,0.0273
16480,True,2021-11-06 15:00:00,78,Crystal Palace,CRY,229,Wolverhampton Wanderers,WOL,2,0,2.65161,0.25416,0.9354,0.057,0.0076
16478,True,2021-11-06 17:30:00,220,Brighton,BRI,86,Newcastle United,NEW,1,1,1.43123,0.227321,0.7823,0.1837,0.034
16476,True,2021-11-07 14:00:00,83,Arsenal,ARS,90,Watford,WAT,1,0,1.49208,0.491659,0.6791,0.2449,0.076
16481,True,2021-11-07 14:00:00,72,Everton,EVE,82,Tottenham,TOT,0,0,0.597906,0.801798,0.2344,0.3843,0.3813
16482,True,2021-11-07 14:00:00,245,Leeds,LED,75,Leicester,LEI,1,1,1.96551,0.795292,0.7108,0.2078,0.0814
16485,True,2021-11-07 16:30:00,81,West Ham,WHU,87,Liverpool,LIV,3,2,1.25298,1.45641,0.3099,0.2842,0.4059
16488,True,2021-11-20 12:30:00,75,Leicester,LEI,80,Chelsea,CHE,0,3,0.499504,2.57178,0.0208,0.1023,0.8769
16486,True,2021-11-20 15:00:00,71,Aston Villa,AVL,220,Brighton,BRI,2,0,1.06946,0.582787,0.4855,0.336,0.1785
16487,True,2021-11-20 15:00:00,92,Burnley,BUR,78,Crystal Palace,CRY,3,3,1.04224,1.74839,0.2089,0.2415,0.5496
16491,True,2021-11-20 15:00:00,86,Newcastle United,NEW,244,Brentford,BRE,3,3,2.18388,1.23275,0.6076,0.2257,0.1667
16492,True,2021-11-20 15:00:00,79,Norwich,NOR,74,Southampton,SOU,2,1,0.43778,1.13118,0.142,0.3171,0.5409
16494,True,2021-11-20 15:00:00,90,Watford,WAT,89,Manchester United,MUN,4,1,2.73393,1.66794,0.6277,0.2073,0.165
16495,True,2021-11-20 15:00:00,229,Wolverhampton Wanderers,WOL,81,West Ham,WHU,1,0,1.31903,0.436331,0.6132,0.2733,0.1135
16489,True,2021-11-20 17:30:00,87,Liverpool,LIV,83,Arsenal,ARS,4,0,3.97374,0.268025,0.9941,0.0055,0.0004
16490,True,2021-11-21 14:00:00,88,Manchester City,MCI,72,Everton,EVE,3,0,2.61302,0.266894,0.9179,0.0691,0.013
16493,True,2021-11-21 16:30:00,82,Tottenham,TOT,245,Leeds,LED,2,1,2.31744,1.46689,0.5951,0.2303,0.1746
16496,True,2021-11-27 12:30:00,83,Arsenal,ARS,86,Newcastle United,NEW,2,0,2.84493,0.185383,0.9577,0.0369,0.0054
16501,True,2021-11-27 15:00:00,78,Crystal Palace,CRY,71,Aston Villa,AVL,1,2,0.962129,0.454305,0.5015,0.3502,0.1483
16503,True,2021-11-27 15:00:00,87,Liverpool,LIV,74,Southampton,SOU,4,0,3.07278,0.966132,0.8606,0.101,0.0384
16505,True,2021-11-27 15:00:00,79,Norwich,NOR,229,Wolverhampton Wanderers,WOL,0,0,1.4047,0.297157,0.705,0.2329,0.0621
16498,True,2021-11-27 17:30:00,220,Brighton,BRI,245,Leeds,LED,0,0,1.90498,0.864829,0.6441,0.224,0.1319
16497,True,2021-11-28 14:00:00,244,Brentford,BRE,72,Everton,EVE,1,0,1.19813,0.968075,0.4215,0.329,0.2495
16502,True,2021-11-28 14:00:00,75,Leicester,LEI,90,Watford,WAT,4,2,2.16027,2.38383,0.332,0.2403,0.4277
16504,True,2021-11-28 14:00:00,88,Manchester City,MCI,81,West Ham,WHU,2,1,2.72187,0.171763,0.9519,0.0432,0.0049
16500,True,2021-11-28 16:30:00,80,Chelsea,CHE,89,Manchester United,MUN,1,1,2.34525,0.563367,0.8372,0.1357,0.0271
16513,True,2021-11-30 19:30:00,86,Newcastle United,NEW,79,Norwich,NOR,1,1,1.15636,1.51084,0.2596,0.3006,0.4398
16508,True,2021-11-30 20:15:00,245,Leeds,LED,78,Crystal Palace,CRY,1,0,1.9818,0.707328,0.7505,0.1819,0.0676
16509,True,2021-12-01 19:30:00,90,Watford,WAT,80,Chelsea,CHE,1,2,0.990877,0.908574,0.3546,0.3333,0.3121
16510,True,2021-12-01 19:30:00,81,West Ham,WHU,220,Brighton,BRI,1,1,1.14679,1.2607,0.3108,0.3198,0.3694
