element,position,multiplier,is_captain,is_vice_captain
559,1,1,False,False
142,2,1,False,False
44,3,1,False,False
256,4,1,False,False
491,5,1,False,False
701,6,1,False,False
22,7,1,False,False
233,8,1,False,True
138,9,2,True,False
357,10,1,False,False
430,11,1,False,False
376,12,0,False,False
305,13,0,False,False
51,14,0,False,False
518,15,0,False,False
