element,position,multiplier,is_captain,is_vice_captain
69,1,1,False,False
237,2,1,False,False
56,3,1,False,False
370,4,1,False,False
259,5,1,False,False
233,6,2,True,False
268,7,1,False,False
419,8,1,False,False
196,9,1,False,False
579,10,1,False,True
413,11,1,False,False
376,12,0,False,False
177,13,0,False,False
491,14,0,False,False
70,15,0,False,False
