element,position,multiplier,is_captain,is_vice_captain
69,1,1,False,False
237,2,1,False,False
370,3,1,False,False
127,4,1,False,False
491,5,1,False,False
56,6,1,False,False
196,7,1,False,False
233,8,1,False,True
419,9,1,False,False
579,10,2,True,False
413,11,1,False,False
376,12,0,False,False
268,13,0,False,False
70,14,0,False,False
189,15,0,False,False
