Understat_ID, FPL_ID, Understat_Name, FPL_Name
7714,356,Ben Osborn,Ben Osborn
7721,33,Conor Hourihane,Conor Hourihane
8020,79,Steven Alzate,Steven Alzate
8067,123,Reece James,Reece James
8089,17,Kieran Tierney,Kieran Tierney
8214,146,Tyrick Mitchell,Tyrick Mitchell
8226,77,Tariq Lamptey,Tariq Lamptey
8228,589,Nathaniel Phillips,Nathaniel Phillips
8285,360,Sander Berge,Sander Berge
8300,400,Steven Bergwijn,Steven Bergwijn
8379,80,Alexis Mac Allister,Alexis Mac Allister
8456,524,Nathan Tella,Nathan Tella
8481,519,Jimmy Dunne,Jimmy Dunne
8562,240,Luke Thomas,Luke Thomas
8717,211,Pascal Struijk,Pascal Struijk
8719,204,Kalvin Phillips,Kalvin Phillips
8780,67,Joël Veltman,Joël Veltman
8816,195,Liam Cooper,Liam Cooper
8821,495,Donny van de Beek,Donny van de Beek
8961,-1,Rúben Dias,
9163,603,Kean Bryan,Kean Bryan
9501,695,Fabio Carvalho,Fabio Carvalho
9509,699,Daniel Jebbison,Daniel Jebbison
9524,702,Anthony Elanga,Anthony Elanga
181,8,Bernd Leno,Bernd Leno
200,116,Andreas Christensen,Andreas Christensen
342,14,Sead Kolasinac,Sead Kolasinac
461,322,Matt Ritchie,Matt Ritchie
465,651,Joshua King,Joshua King
484,256,Divock Origi,Divock Origi
485,127,Mamadou Sakho,Mamadou Sakho
489,241,James Milner,James Milner
508,13,Calum Chambers,Calum Chambers
510,134,Joel Ward,Joel Ward
525,135,Martin Kelly,Martin Kelly
527,-1,Adrián,
530,129,James Tomkins,James Tomkins
533,427,Mark Noble,Mark Noble
534,435,Aaron Cresswell,Aaron Cresswell
540,430,Darren Randolph,Darren Randolph
545,407,Kieran Gibbs,Kieran Gibbs
546,291,David de Gea,David de Gea
549,312,Timothy Fosu-Mensah,Timothy Fosu-Mensah
573,293,Odion Ighalo,Odion Ighalo
585,152,Seamus Coleman,Seamus Coleman
587,529,Phil Jagielka,Phil Jagielka
589,131,James McCarthy,James McCarthy
603,577,Nathaniel Clyne,Nathaniel Clyne
614,-1,Fernandinho,
624,101,Willy Caballero,Willy Caballero
633,130,James McArthur,James McArthur
635,363,Alex McCarthy,Alex McCarthy
637,383,Hugo Lloris,Hugo Lloris
643,391,Eric Dier,Eric Dier
645,-1,Dele Alli,
660,395,Ben Davies,Ben Davies
661,188,Josh Onomah,Josh Onomah
682,530,Branislav Ivanovic,Branislav Ivanovic
697,295,Nemanja Matic,Nemanja Matic
703,121,Fikayo Tomori,Fikayo Tomori
706,431,Lukasz Fabianski,Lukasz Fabianski
708,323,Federico Fernández,Federico Fernández
710,31,Neil Taylor,Neil Taylor
712,84,Jack Cork,Jack Cork
727,335,DeAndre Yedlin,DeAndre Yedlin
730,139,Patrick van Aanholt,Patrick van Aanholt
741,157,Jordan Pickford,Jordan Pickford
745,217,Kasper Schmeichel,Kasper Schmeichel
748,216,Wes Morgan,Wes Morgan
749,218,Christian Fuchs,Christian Fuchs
751,-1,N&#039;Golo Kanté,
762,230,Demarai Gray,Demarai Gray
772,385,Moussa Sissoko,Moussa Sissoko
780,325,Karl Darlow,Karl Darlow
785,453,John Ruddy,John Ruddy
831,523,Fraser Forster,Fraser Forster
835,362,Ryan Bertrand,Ryan Bertrand
839,361,Shane Long,Shane Long
847,5,Cédric Soares,Cédric Soares
848,415,Charlie Austin,Charlie Austin
856,586,Jack Butland,Jack Butland
857,82,Phil Bardsley,Phil Bardsley
876,149,Fabian Delph,Fabian Delph
884,42,Matt Targett,Matt Targett
885,375,Kyle Walker-Peters,Kyle Walker-Peters
887,83,Erik Pieters,Erik Pieters
888,247,Xherdan Shaqiri,Xherdan Shaqiri
910,373,Harrison Reed,Harrison Reed
934,307,Axel Tuanzebe,Axel Tuanzebe
971,397,Harry Winks,Harry Winks
978,417,Sam Johnstone,Sam Johnstone
987,260,Joseph Gomez,Joseph Gomez
1013,423,Sam Field,Sam Field
1042,163,Tom Davies,Tom Davies
1084,160,Jonjoe Kenny,Jonjoe Kenny
1208,-1,Felipe Anderson,
1245,-1,Emerson,
1304,169,Moise Kean,Moise Kean
1379,-1,Allan,
1682,579,Islam Slimani,Islam Slimani
1683,507,Ryan Fraser,Ryan Fraser
1685,-1,Ahmed Elmohamady,
1689,409,Jake Livermore,Jake Livermore
1691,428,Robert Snodgrass,Robert Snodgrass
1699,7,Shkodran Mustafi,Shkodran Mustafi
1719,332,Javier Manquillo,Javier Manquillo
1735,367,Jack Stephens,Jack Stephens
1739,310,Eric Bailly,Eric Bailly
1747,85,Kevin Long,Kevin Long
1748,359,Lys Mousset,Lys Mousset
1749,16,Rob Holding,Rob Holding
1750,15,Ainsley Maitland-Niles,Ainsley Maitland-Niles
1760,442,Arthur Masuaku,Arthur Masuaku
1785,518,Nampalys Mendy,Nampalys Mendy
1823,155,Lucas Digne,Lucas Digne
1828,-1,Alex Telles,
2164,-1,Pablo Hernández,
2190,128,Vicente Guaita,Vicente Guaita
2254,107,Mateo Kovacic,Mateo Kovacic
2259,-1,Kiko Casilla,
2280,-1,Jonny,
2310,516,Alphonse Areola,Alphonse Areola
2328,567,Thomas Partey,Thomas Partey
2383,-1,André Gomes,
2385,-1,Mat Ryan,
2446,-1,Dani Ceballos,
2498,280,Aymeric Laporte,Aymeric Laporte
2958,283,Oleksandr Zinchenko,Oleksandr Zinchenko
3231,410,Kamil Grosicki,Kamil Grosicki
3303,-1,Ricardo Pereira,
3304,173,Maxime Le Marchand,Maxime Le Marchand
3420,-1,Fabinho,
3696,647,Morgan Sanson,Morgan Sanson
3979,-1,Ahmed Hegazy,
4401,-1,Emiliano Martinez,
4764,161,Jean-Philippe Gbamin,Jean-Philippe Gbamin
4866,190,Aboubakar Kamara,Aboubakar Kamara
4918,626,Patrick Cutrone,Patrick Cutrone
5061,-1,Kepa,
5245,-1,Bernardo,
5247,261,Naby Keita,Naby Keita
5274,178,Michael Hector,Michael Hector
5552,96,Nick Pope,Nick Pope
5562,426,Rekeem Harper,Rekeem Harper
5569,262,Rhian Brewster,Rhian Brewster
5590,572,Tosin Adarabioyo,Tosin Adarabioyo
5603,483,Aaron Ramsdale,Aaron Ramsdale
5708,505,Fernando Marçal,Fernando Marçal
5973,517,Kenny Tete,Kenny Tete
6044,97,Charlie Taylor,Charlie Taylor
6050,59,Davy Pröpper,Davy Pröpper
6051,55,Dale Stephens,Dale Stephens
6054,-1,Ederson,
6062,336,Isaac Hayden,Isaac Hayden
6067,585,Terence Kongolo,Terence Kongolo
6122,-1,Douglas Luiz,
6162,541,Cengiz Ünder,Cengiz Ünder
6231,72,José Izquierdo,José Izquierdo
6249,398,Davinson Sánchez,Davinson Sánchez
6273,491,Robin Koch,Robin Koch
6274,436,Andriy Yarmolenko,Andriy Yarmolenko
